user_id,recency,frequency,monetary,cluster
00000ce0-2e08-4b89-ba86-0c8698b2d4fb,247.0,2,1080.3,3
00004453-ecfa-4c25-94f1-0004cc58286f,599.0,2,594.86,3
000062e5-a9a0-4056-a54d-5cf0b2473fda,58.0,1,3028.01,3
000076de-9d04-4ae8-af41-2f8caf66c899,136.0,5,10514.85,0
00008df1-f9ce-487d-b5a6-68e6992e025a,54.0,7,6775.94,0
00009e20-cfbd-4b4b-b304-38868364135e,119.0,2,1915.44,3
0000aa69-779b-49ee-84ad-d01fa3432bfc,736.0,1,200.06,3
0000c6d2-bb39-4777-80f9-0faea7bdd29d,493.0,4,2742.31,1
0000f4d3-5d38-42c4-945b-a3c1efd6d9f5,5.0,6,8316.94,0
000119bd-1c5b-44b8-af94-2728b786f581,977.0,1,1616.12,2
0001451a-3cb2-4361-aa93-d6bb2270f320,10.0,5,5429.63,1
0001c917-2aef-4ffc-896e-424083b20cac,423.0,2,3570.87,3
00024d43-fe7e-4d87-8f20-75924c3c328b,389.0,3,6278.67,1
0002c60f-9c2e-40d2-a45a-53d8934baef4,159.0,2,1309.97,3
0002e276-8d0d-4ecc-b6ea-6c214b994481,33.0,1,211.01,3
000334ce-a646-4719-93f7-b0bbd769b2f4,194.0,3,1204.62,3
0003d998-904d-4ecc-9372-8c74337b2abe,313.0,3,5907.34,1
0004b50f-158c-4b3c-a91f-d6ec48e0fa84,142.0,4,6354.56,1
0004e5e8-54e5-4d6e-8d56-84776927fa56,154.0,5,3492.46,1
000501b1-e925-4d89-825c-82ab89c335fd,534.0,1,1762.46,3
00050d3c-8117-4e39-b7bb-1143be1e408c,412.0,2,798.16,3
00050fd3-3733-4947-a18e-500533585b73,369.0,1,1876.12,3
00054fe7-ad30-40a1-9660-7987b1b29d71,934.0,2,1928.92,3
000555c4-b244-4fc7-ab64-e4fd5fc292cb,417.0,3,3600.27,1
00062d98-2925-4601-867a-f436c357c853,450.0,5,3104.65,1
0006688d-5ec9-4c4e-8369-b42c0d22cc13,1099.0,2,2634.26,2
000681ab-e153-4ff4-8944-588cc5bf2aaa,23.0,3,1460.02,3
0007291b-58dc-408d-90c7-09cf798add9d,725.0,5,5460.45,1
0007b005-1f3a-45f3-9059-55233d83a283,27.0,2,3638.54,3
0008342d-e61d-4626-ba07-12a2601017bf,130.0,4,4245.57,1
00083cb8-4a92-4d2b-803b-789821f1d106,204.0,1,600.71,3
00083dea-e105-4bfe-86a8-80c69229ca68,230.0,9,3555.97,0
00086206-a21b-4946-9f0e-17ab84d669d8,26.0,5,6554.3,1
000884c1-8182-4478-b2f8-06be457406bd,1245.0,2,3237.39,2
00088e90-aec2-4cab-9962-21b841aed18d,56.0,4,5918.49,1
0008b0fb-aeea-4e59-b4b8-ee6499857d4e,87.0,2,2130.03,3
0008b7ce-d190-4252-807a-e7de1e70cca6,116.0,2,1450.75,3
00091ae8-7bc6-4513-969c-20d43f773300,86.0,2,247.53,3
00095210-ef1c-4cf7-a667-b040455c0d10,60.0,3,2283.27,3
000974c6-9c13-402f-a05d-1be937769c6d,88.0,3,3921.65,1
0009dd88-40fb-4aaf-917c-a914ee486b98,31.0,4,4710.61,1
000a1eac-d023-4ec9-acfc-f3da79ddbc23,2419.0,2,643.75,2
000a4e0b-3b67-416b-8459-a965691a3b8f,514.0,1,175.16,3
000a6c15-4198-4525-94a1-52580b161728,284.0,2,2973.96,3
000a7258-8b9f-47a4-8ff0-6f00d17db694,390.0,3,329.58,3
000a963a-4404-4a06-94e9-6bf6d2d649a9,355.0,3,2429.43,3
000b474d-364a-4633-a2d3-82a381b750cb,738.0,5,2104.08,1
000b4a6c-ad34-416f-a9f8-e6dcf10ea838,764.0,1,1982.47,3
000b6f42-3594-47aa-8e64-2af5dfd7c330,629.0,2,3587.16,3
000c3044-4d11-40c0-b752-1885ead4bd69,30.0,3,1958.1,3
000c3eae-d621-4a1d-803c-84e33ccf33a3,179.0,3,5987.32,1
000ca6d5-1968-483d-b7fc-4b1ece4ec84b,276.0,3,1014.13,3
000cd6e9-8aca-4fe0-8234-232e6044b3cf,102.0,3,2352.92,3
